Name,Institute,Country,Year
"Kotov, Andrey","","","2015"
"Kawaguchi, Koji","Sophia Univ","","2015"
"Nikolaev, Alexander","Far Eastern Federal University","","2015"
"Song, Jihye","Pusan National University (KR)","","2015"
"Singh, Ranbir","National Institute of Science  Education and Research (IN)","","2015"
"Larsen, Rasmus","Stony Brook University","","2015"
"Tanji, Naoto","High Energy Accelerator Research Organization, KEK","","2015"
"Liu, Hao","IHEP","","2015"
"Xing, Hongxi","LANL","","2015"
"Mazeliauskas, Aleksas","Stony Brook University","","2015"
"Guo, Xingyu","Tsinghua University","","2015"
"Benic, Sanjin","Tokyo University","","2015"
"Tanizaki, Yuya","The University of Tokyo","","2015"
"Kodama, Takeshi","Universidade Federal do Rio de Janeiro","","2015"
"Molnar, Denes","Purdue University","","2015"
"Sharma, Sayantan","BNL","","2015"
"Habich, Mathis","University of Colorado Boulder","","2015"
"Ryu, Sangwook","McGill University","","2015"
"Dubla, Andrea","Nikhef National institute  for subatomic physics (NL)","","2015"
"Russo, Riccardo","Universita e INFN Torino (IT)","","2015"
"Gursoy, Umut","Utrecht University","","2015"
"Martinez Guerrero, Mauricio","The Ohio State University","","2015"
"Tsutsui, Shoichiro","Kyoto University","","2015"
"Kampfer, Burkhard","HZDR","","2015"
"Zhou, Long","USTC && BNL","","2015"
"Bernhard, Jonah","Duke University","","2015"
"Purschke, Martin","BROOKHAVEN NATIONAL LABORATORY","","2015"
"Hadjidakis, Cynthia","Universite de Paris-Sud 11 (FR)","","2015"
"Pang, Jin-Yi","National Taiwan University","","2015"
"Pu, Shi","USTC, China","","2015"
"Thaeder, Jochen","Lawrence Berkeley National Laboratory","","2015"
"Tatsumi, Toshitaka","Kyoto U.","","2015"
"Gale, Charles","McGill University","","2015"
"Simatovic, Goran","University of Zagreb (HR)","","2015"
"Ikeda, Atsuro","Osaka University","","2015"
"Lee, Kang Seog","Chonnam National University","","2015"
"Scheib, Timo","Goethe University","","2015"
"Mackowiak-Pawlowska, Maja Katarzyna","Warsaw University of Technology (PL)","","2015"
"Timilsina, Arbin","PHENIX","","2015"
"Tu, Biao","Central China Normal University","","2015"
"BHATT, PALAK","Department Of Physics, Sardar Patel University","","2015"
"Patel, Smruti","Department Of Physics, Sardar Patel University","","2015"
"Zhu, Xiangrong","Peking University","","2015"
"Torrieri, Giorgio","IFGW Unicamp","","2015"
"Krelina, Michal","Czech Technical University in Prague, FNSPE, Prague","","2015"
"shimomura, maya","Nara Women's University","","2015"
"Doi, Takahiro","Japan/Kyoto University","","2015"
"Gajdošová, Katarína","","","2015"
"Zaslavsky, David","Central China Normal University","","2015"
"Noronha, Jorge","University of Sao Paulo","","2015"
"Xu, Yingru","Duke University","","2015"
"Basar, Gokce","University of Maryland, College Park","","2015"
"Bhalerao, Rajeev","TIFR","","2015"
"Sahoo, Raghunath","Indian Institute of Technology  Indore (IN)","","2015"
"Lombardo, Maria Paola","INFN","","2015"
"Harris, John William","Yale University (US)","","2015"
"Apolinario, Liliana","Instituto Superior Tecnico (PT)","","2015"
"Sun, Deke","Purdue University","","2015"
"Bluhm, Marcus","North Carolina State University","","2015"
"Jiang, Yin","Indiana University","","2015"
"Murray, Michael","University of Kansas (US)","","2015"
"Chapon, Emilien","Centre National de la Recherche Scientifique (FR)","","2015"
"Baty, Austin Alan","Massachusetts Inst. of Technology (US)","","2015"
"Jo, Mihee","Centre National de la Recherche Scientifique (FR)","","2015"
"Kim, Yongsun","Korea University (KR)","","2015"
"Mc Ginn, Christopher","Massachusetts Inst. of Technology (US)","","2015"
"Zurita, Maria","Universidade de Santiago de Compostela","","2015"
"Evdokimov, Olga","University of Illinois at Chicago (US)","","2015"
"Sharma, Natasha","University of Tennessee (US)","","2015"
"Armesto Perez, Nestor","Universidade de Santiago de Compostela (ES)","","2015"
"Ryblewski, Radoslaw","Institute of Nuclear Physics PAN","","2015"
"Yang, Zhenwei","Tsinghua University (CN)","","2015"
"Murase, Koichi","The University of Tokyo","","2015"
"Chen, Huan","China University of Geosciences (Wuhan)","","2015"
"ESCOBEDO ESPINOSA, Miguel angel","CEA Saclay-CNRS","","2015"
"Bai, Xiaozhi","University of Illinois at Chicago","","2015"
"Kisiel, Adam","Warsaw University of Technology (PL)","","2015"
"Bairathi, Vipul","National Institute of Science Education and Research","","2015"
"Lomnitz, Michael","Kent State University","","2015"
"Lokhtin, Igor","Skobelsyn Institute of Nuclear Physics, Lpmonosov Moscow State University","","2015"
"Vitev, Ivan","LANL","","2015"
"Kang, Zhongbo","Los Alamos National Laboratory","","2015"
"LUO, TAN","CCNU/LBNL","","2015"
"Chen, Wei","CCNU","","2015"
"Moreland, Scott","Duke University","","2015"
"Bala, Renu","University of Jammu (IN)","","2015"
"Veen, Annelies Marianne","Nikhef National institute  for subatomic physics (NL)","","2015"
"Bedda, Cristina","Universita e INFN Torino (IT)","","2015"
"Uras, Antonio","Universite Claude Bernard-Lyon I (FR)","","2015"
"Sako, Takashi","Nagoya University (JP)","","2015"
"Simko, Miroslav","Nuclear Physics Institute of the CAS (CZ)","","2015"
"Kozlov, Igor","McGill University","","2015"
"Luzum, Matthew","University of Santiago de Compostela","","2015"
"Mitchell, Jeffery","Brookhaven National Laboratory","","2015"
"nakagawa, itaru","RIKEN","","2015"
"Nagai, Kenichi","Sophia university","","2015"
"Brooks, Melynda","Los Alamos National Laboratory","","2015"
"Sakaguchi, Takao","BNL","","2015"
"Haggerty, John","Brookhaven National Laboratory","","2015"
"IWAMI, Ryo","Niigata Univ.","","2015"
"Hanks, Ali","Stony Brook University","","2015"
"Meiring, Ben","University of Cape Town","","2015"
"Horowitz, William","University of Cape Town","","2015"
"Muroya, Shin","Matsumoto University","","2015"
"Iancu, Edmond","IPhT Saclay","","2015"
"Zaccolo, Valentina","University of Copenhagen (DK)","","2015"
"Lacey, Roy","Stony Brook University","","2015"
"Kojo, Toru","University of Illinois, Urbana-Champaign","","2015"
"Liu, Ming","Los Alamos National Laboratory","","2015"
"Wu, Bin","CEA-Saclay","","2015"
"Xu, Jiechen","Columbia University","","2015"
"Shanmuganathan, Prashanth","Kent State University, USA","","2015"
"Nakamura, Atsushi","RCNP, Osaka Univ","","2015"
"Taniguchi, Yusuke","University of Tsukuba","","2015"
"Becattini, Francesco","University of Florence (Italy)","","2015"
"Hayashi, Shinichi","University of Tokyo (JP)","","2015"
"Kamikado, Kazuhiko","RIKEN","","2015"
"Hidaka, Yoshimasa","RIKEN","","2015"
"Bierlich, Christian","Lund University (SE)","","2015"
"Martinez-Garcia, Gines","Centre National de la Recherche Scientifique (FR)","","2015"
"Morita, Kenji","Kyoto University","","2015"
"Okamoto, Kazuhisa","Nagoya University","","2015"
"Araki, Kenji","Tokyo Institute of Technology","","2015"
"SAMANTA, SUBHASIS","BOSE INSTITUTE","","2015"
"attems, maximilian","University of Barcelona","","2015"
"Punetha, Garima","Center of Advanced Study, Department of Physics, Kumaun University, Nainital-263001 (India)","","2015"
"Petrushanko, Sergey","M.V. Lomonosov Moscow State University (RU)","","2015"
"He, Yayun","Central China Normal University (CN)","","2015"
"Deng, Wei-Tian","Huazhong University of Science and Technology","","2015"
"Ghiglieri, Jacopo","Universitaet Bern (CH)","","2015"
"De Falco, Alessandro","Universita e INFN (IT)","","2015"
"Wertepny, Douglas","The Ohio State University","","2015"
"Fraga, Eduardo","Universidade Federal do Rio de Janeiro","","2015"
"Shulga, Evgeny","National Research Nuclear  University MEPhI (RU)","","2015"
"Grabowska-Bold, Iwona","AGH University of Science and  Technology (PL)","","2015"
"Song, Huichao","Peking University","","2015"
"Grinbaum Sarkisyan, Edward","University of Texas at Arlington (US)","","2015"
"Petreczky, Peter","BNL","","2015"
"Feckova, Zuzana","","","2015"
"Levai, Peter","Hungarian Academy of Sciences (HU)","","2015"
"Maezawa, Yu","Yukawa Institute for Theoretical Physics, Kyoto University, Japan","","2015"
"Nayak, Kishora","National Institute of Science  Education and Research (IN)","","2015"
"Gronefeld, Julius Maximilian","GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)","","2015"
"He, BingRan","Nagoya Univ.","","2015"
"Wilkinson, Jeremy","Ruprecht-Karls-Universitaet Heidelberg (DE)","","2015"
"Ortiz Velasquez, Antonio","Universidad Nacional Autonoma (MX)","","2015"
"Ducloue, Bertrand","","","2015"
"Kim, HyungJoo","Yonsei University","","2015"
"Yasui, Shigehiro","Tokyo Institute of Technology","","2015"
"Paquet, Jean-Francois","McGill University","","2015"
"Oliinychenko, Dmytro","Frankfurt Institute for Advanced Studies, D-60438 Frankfurt am Main, Germany; Bogolyubov Institute for Theoretical Physics, Kiev 03680, Ukraine","","2015"
"Zou, Shuguang","CCNU","","2015"
"Perepelitsa, Dennis Vadimovich","Brookhaven National Laboratory (US)","","2015"
"Chatterjee, Rupa","","","2015"
"Huang, Xu-Guang","Fudan University","","2015"
"Altinoluk, Tolga","","","2015"
"Noronha-Hostler, Jacquelyn","Columbia University","","2015"
"Alves Garcia Prado, Caio","Universidade de Sao Paulo (BR)","","2015"
"Turko, Ludwik","University Wroclaw, Poland","","2015"
"Huo, Peng","State University of New York (US)","","2015"
"Kikuchi, Yuta","Kyoto University","","2015"
"Muronga, Azwinndini","University of Johannesburg","","2015"
"SUZUKI, Takuya","Waseda University","","2015"
"Spousta, Martin","Charles University","","2015"
"Csernai, LaszloPal","UiB","","2015"
"Rathaud, Dharmesh","Sardar Vallabhbhai National Institute of Technology, Surat, India","","2015"
"Flores, Chris","","","2015"
"Rasoanaivo, Andriniaina Narindra","University of Cape Town","","2015"
